Time (since start of data) [hrs],Fuel Cell Production [kW],Electrolyzer Consumption [kW],Stored Hydrogen [kg],External Hydrogen Load [kg],Curtiailed Hydrogen Potential [kg],Compression Power [kW],Compression Thermal Output [kW],Water Demand [kg],Electrolyzer H2 Production [kg],Charge (at end of timestep) [kWh],Fuel Cell Consumption [kg],Electrolyzer State of Health (at end of timestep) [ ],Fuel Cell State of Health (at end of timestep) [ ],Electrolyzer Operational Efficiency [ ],Fuel Cell State Operational Efficiency [ ],Capital Cost (actual),Operation and Maintenance Cost (actual),
1349,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1350,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1351,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1352,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1353,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1354,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1355,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1356,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1357,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1358,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1359,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1360,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1361,0,0,999.68,0,0,0,0,0,0,33289.3,0,0.990747,0.994293,0,0,0,0,
1362,118.154,0,993.283,0,0,0,0,0,0,33076.3,6.39682,0.990747,0.994262,0,0.542886,0,7.08925,
1363,150,0,984.986,0,0,0,0,0,0,32800,8.29734,0.990747,0.994252,0,0.54288,0,9,
1364,135.11,0,977.586,0,0,0,0,0,0,32553.6,7.39959,0.990747,0.994242,0,0.542875,0,8.10662,
1365,150,0,969.288,0,0,0,0,0,0,32277.3,8.2975,0.990747,0.994232,0,0.542869,0,9,
1366,150,0,960.991,0,0,0,0,0,0,32001,8.29758,0.990747,0.994222,0,0.542864,0,9,
1367,150,0,952.693,0,0,0,0,0,0,31724.7,8.29767,0.990747,0.994212,0,0.542859,0,9,
1368,42.1829,0,950.527,0,0,0,0,0,0,31652.6,2.16576,0.990747,0.994202,0,0.542853,0,2.53097,
1369,0,102.433,952.33,0,0,12.3854,0,31.0109,1.80296,31712.6,0,0.990716,0.994202,0.549895,0,0,7.11462,
1370,0,221.941,956.091,0,0,12.385,0,64.6781,3.76036,31837.8,0,0.990706,0.994202,0.549889,0,0,14.6605,
1371,0,292.194,960.928,0,0,12.3849,0,83.2069,4.83761,31998.9,0,0.990696,0.994202,0.549884,0,0,18.7431,
1372,0,299.219,965.871,0,0,12.3848,0,85.0076,4.9423,32163.5,0,0.990686,0.994202,0.549878,0,0,18.7431,
1373,0,299.922,970.823,0,0,12.3846,0,85.1864,4.9527,32328.4,0,0.990676,0.994202,0.549873,0,0,18.7431,
1374,0,299.992,975.777,0,0,12.3845,0,85.2036,4.95369,32493.4,0,0.990666,0.994202,0.549868,0,0,18.7431,
1375,0,299.999,980.731,0,0,12.3844,0,85.2045,4.95375,32658.3,0,0.990656,0.994202,0.549862,0,0,18.7431,
1376,0,300,985.685,0,0,12.3843,0,85.2038,4.95371,32823.3,0,0.990646,0.994202,0.549857,0,0,18.7431,
1377,0,300,990.638,0,0,12.3842,0,85.203,4.95366,32988.3,0,0.990636,0.994202,0.549851,0,0,18.743,
1378,0,300,995.592,0,0,12.384,0,85.2022,4.95361,33153.2,0,0.990626,0.994202,0.549846,0,0,18.743,
1379,37.8798,0,993.653,0,0,0,0,0,0,33088.6,1.93884,0.990626,0.994172,0,0.542837,0,2.27279,
1380,0,85.3096,995.162,0,0,12.3839,0,25.9622,1.50943,33138.9,0,0.990595,0.994172,0.549829,0,0,6.01608,
1381,0,272.702,999.706,0,0,12.3835,0,78.1509,4.54365,33290.2,0,0.990585,0.994172,0.549824,0,0,18.322,
1382,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1383,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1384,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1385,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1386,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1387,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1388,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1389,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1390,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1391,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1392,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1393,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1394,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1395,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1396,0,0,999.706,0,0,0,0,0,0,33290.2,0,0.990585,0.994172,0,0,0,0,
1397,90.0491,0,994.924,0,0,0,0,0,0,33131,4.78247,0.990585,0.994141,0,0.54282,0,5.40294,
1398,150,0,986.625,0,0,0,0,0,0,32854.6,8.29834,0.990585,0.994131,0,0.542815,0,9,
1399,150,0,978.327,0,0,0,0,0,0,32578.3,8.29842,0.990585,0.994121,0,0.542809,0,9,
1400,38.5157,0,976.354,0,0,0,0,0,0,32512.6,1.97245,0.990585,0.994111,0,0.542804,0,2.31094,
1401,49.6924,0,973.789,0,0,0,0,0,0,32427.2,2.56533,0.990585,0.994101,0,0.542799,0,2.98154,
1402,150,0,965.49,0,0,0,0,0,0,32150.8,8.29867,0.990585,0.994091,0,0.542793,0,9,
1403,37.6547,0,963.563,0,0,0,0,0,0,32086.7,1.92722,0.990585,0.994081,0,0.542788,0,2.25928,
1404,0,270,968.066,0,0,12.3834,0,77.4449,4.50261,32236.6,0,0.990555,0.994081,0.549807,0,0,18.743,
1405,0,297,972.974,0,0,12.383,0,84.4277,4.90859,32400,0,0.990545,0.994081,0.549801,0,0,18.743,
1406,0,190.9,976.241,0,0,12.3829,0,56.1836,3.26649,32508.8,0,0.990535,0.994081,0.549796,0,0,12.197,
1407,0,219.546,979.963,0,0,12.3828,0,64.0183,3.72199,32632.8,0,0.990525,0.994081,0.549791,0,0,14.0529,
1408,0,233.065,983.897,0,0,12.3827,0,67.6615,3.93381,32763.8,0,0.990515,0.994081,0.549785,0,0,14.7955,
1409,0,99.4043,985.648,0,0,12.3825,0,30.1156,1.75091,32822.1,0,0.990505,0.994081,0.54978,0,0,6.70721,
1410,0,0,985.648,0,0,0,0,0,0,32822.1,0,0.990505,0.994081,0,0,0,0,
1411,150,0,977.349,0,0,0,0,0,0,32545.7,8.29883,0.990505,0.99405,0,0.542771,0,9,
1412,147.29,0,969.214,0,0,0,0,0,0,32274.8,8.13441,0.990505,0.99404,0,0.542766,0,8.83738,
1413,40.3878,0,967.143,0,0,0,0,0,0,32205.9,2.07128,0.990505,0.99403,0,0.54276,0,2.42327,
1414,37.8285,0,965.207,0,0,0,0,0,0,32141.4,1.93647,0.990505,0.99402,0,0.542755,0,2.26971,
1415,0,270,969.709,0,0,12.3824,0,77.4387,4.50225,32291.3,0,0.990474,0.99402,0.549763,0,0,18.7429,
1416,0,55.6,970.702,0,0,12.382,0,17.0745,0.992702,32324.4,0,0.990464,0.99402,0.549757,0,0,4.07892,
1417,0,47.6181,971.554,0,0,12.3819,0,14.6591,0.852274,32352.7,0,0.990454,0.99402,0.549752,0,0,3.6,
1418,0,47.6182,972.406,0,0,12.3818,0,14.659,0.852267,32381.1,0,0.990444,0.99402,0.549747,0,0,3.6,
1419,0,47.6183,973.258,0,0,12.3817,0,14.6589,0.852261,32409.5,0,0.990434,0.99402,0.549741,0,0,3.6,
1420,0,47.6184,974.111,0,0,12.3816,0,14.6588,0.852255,32437.9,0,0.990424,0.99402,0.549736,0,0,3.6,
1421,0,274.762,978.685,0,0,12.3814,0,78.6743,4.57409,32590.2,0,0.990414,0.99402,0.54973,0,0,18.7429,
1422,0,297.476,983.6,0,0,12.3813,0,84.5379,4.91499,32753.9,0,0.990404,0.99402,0.549725,0,0,18.7429,
1423,0,70.2345,984.848,0,0,12.3812,0,21.4699,1.24825,32795.4,0,0.990394,0.99402,0.549719,0,0,4.95694,
1424,150,0,976.549,0,0,0,0,0,0,32519.1,8.29933,0.990394,0.99399,0,0.542738,0,9,
1425,73.509,0,972.689,0,0,0,0,0,0,32390.5,3.85989,0.990394,0.99398,0,0.542733,0,4.41054,
1426,39.7972,0,970.648,0,0,0,0,0,0,32322.6,2.04025,0.990394,0.99397,0,0.542728,0,2.38783,
1427,0,270,975.15,0,0,12.3811,0,77.4302,4.50176,32472.5,0,0.990363,0.99397,0.549703,0,0,18.7429,
1428,0,297,980.058,0,0,12.3807,0,84.4117,4.90766,32635.9,0,0.990353,0.99397,0.549697,0,0,18.7428,
1429,0,299.7,985.006,0,0,12.3806,0,85.1016,4.94777,32800.7,0,0.990343,0.99397,0.549692,0,0,18.7428,
1430,0,299.97,989.957,0,0,12.3804,0,85.1698,4.95173,32965.6,0,0.990333,0.99397,0.549686,0,0,18.7428,
1431,0,299.997,994.909,0,0,12.3803,0,85.1758,4.95208,33130.5,0,0.990323,0.99397,0.549681,0,0,18.7428,
1432,0,300,999.862,0,0,12.3802,0,85.1757,4.95208,33295.4,0,0.990313,0.99397,0.549675,0,0,18.7428,
1433,0,0,999.862,0,0,0,0,0,0,33295.4,0,0.990313,0.99397,0,0,0,0,
1434,0,0,999.862,0,0,0,0,0,0,33295.4,0,0.990313,0.99397,0,0,0,0,
1435,40.731,0,997.772,0,0,0,0,0,0,33225.8,2.08954,0.990313,0.993939,0,0.542711,0,2.44386,
1436,39.7157,0,995.736,0,0,0,0,0,0,33158,2.03603,0.990313,0.993929,0,0.542706,0,2.38294,
1437,0,236.077,999.716,0,0,12.3801,0,68.4542,3.97989,33290.5,0,0.990283,0.993929,0.549659,0,0,16.242,
1438,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1439,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1440,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1441,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1442,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1443,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1444,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1445,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1446,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1447,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1448,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1449,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1450,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1451,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1452,0,0,999.716,0,0,0,0,0,0,33290.5,0,0.990283,0.993929,0,0,0,0,
1453,42.8253,0,997.515,0,0,0,0,0,0,33217.3,2.20038,0.990283,0.993898,0,0.542689,0,2.56952,
1454,0,142.967,999.999,0,0,12.3797,0,42.714,2.48337,33300,0,0.990252,0.993898,0.549642,0,0,9.77391,
1455,0,0,999.999,0,0,0,0,0,0,33300,0,0.990252,0.993898,0,0,0,0,
1456,0,0,999.999,0,0,0,0,0,0,33300,0,0.990252,0.993898,0,0,0,0,
1457,0,0,999.999,0,0,0,0,0,0,33300,0,0.990252,0.993898,0,0,0,0,
1458,0,0,999.999,0,0,0,0,0,0,33300,0,0.990252,0.993898,0,0,0,0,
1459,0,0,999.999,0,0,0,0,0,0,33300,0,0.990252,0.993898,0,0,0,0,
1460,106.118,0,994.299,0,0,0,0,0,0,33110.1,5.70034,0.990252,0.993867,0,0.542673,0,6.3671,
1461,150,0,985.998,0,0,0,0,0,0,32833.7,8.30059,0.990252,0.993857,0,0.542667,0,9,
1462,150,0,977.697,0,0,0,0,0,0,32557.3,8.30068,0.990252,0.993847,0,0.542662,0,9,
1463,150,0,969.397,0,0,0,0,0,0,32280.9,8.30076,0.990252,0.993837,0,0.542656,0,9,
1464,150,0,961.096,0,0,0,0,0,0,32004.5,8.30084,0.990252,0.993827,0,0.542651,0,9,
1465,150,0,952.795,0,0,0,0,0,0,31728.1,8.30092,0.990252,0.993817,0,0.542646,0,9,
1466,150,0,944.494,0,0,0,0,0,0,31451.6,8.30101,0.990252,0.993807,0,0.54264,0,9,
1467,150,0,936.193,0,0,0,0,0,0,31175.2,8.30109,0.990252,0.993797,0,0.542635,0,9,
1468,150,0,927.891,0,0,0,0,0,0,30898.8,8.30117,0.990252,0.993787,0,0.542629,0,9,
1469,150,0,919.59,0,0,0,0,0,0,30622.4,8.30125,0.990252,0.993777,0,0.542624,0,9,
1470,0,0,919.59,0,0,0,0,0,0,30622.4,0,0.990252,0.993777,0,0,0,0,
1471,0,30.7197,920.143,0,0,12.3793,0,9.50411,0.552565,30640.8,0,0.990221,0.993777,0.549625,0,0,2.60521,
1472,0,273.072,924.69,0,0,12.3789,0,78.2184,4.54758,30792.2,0,0.990211,0.993777,0.54962,0,0,18.7427,
1473,0,226.1,928.514,0,0,12.3788,0,65.768,3.82372,30919.5,0,0.990201,0.993777,0.549614,0,0,14.3087,
1474,0,292.61,933.355,0,0,12.3787,0,83.2722,4.84141,31080.7,0,0.990191,0.993777,0.549609,0,0,18.7427,
1475,0,299.261,938.296,0,0,12.3786,0,84.9758,4.94045,31245.3,0,0.990181,0.993777,0.549603,0,0,18.7427,
1476,0,299.926,943.246,0,0,12.3785,0,85.1449,4.95029,31410.1,0,0.990171,0.993777,0.549598,0,0,18.7427,
1477,0,299.993,948.197,0,0,12.3783,0,85.1611,4.95122,31575,0,0.990161,0.993777,0.549593,0,0,18.7427,
1478,0,299.999,953.149,0,0,12.3782,0,85.1619,4.95127,31739.9,0,0.990151,0.993777,0.549587,0,0,18.7427,
1479,0,300,958.1,0,0,12.3781,0,85.1612,4.95123,31904.7,0,0.990141,0.993777,0.549582,0,0,18.7427,
1480,0,300,963.051,0,0,12.378,0,85.1604,4.95119,32069.6,0,0.990131,0.993777,0.549576,0,0,18.7427,
1481,0,300,968.002,0,0,12.3778,0,85.1596,4.95114,32234.5,0,0.990121,0.993777,0.549571,0,0,18.7427,
1482,0,236.153,971.983,0,0,12.3777,0,68.4617,3.98033,32367,0,0.990111,0.993777,0.549565,0,0,14.9119,
1483,0,198.07,975.363,0,0,12.3776,0,58.1344,3.3799,32479.6,0,0.990101,0.993777,0.54956,0,0,12.6269,
1484,53.5723,0,972.588,0,0,0,0,0,0,32387.2,2.77422,0.990101,0.993747,0,0.542607,0,3.21434,
1485,150,0,964.287,0,0,0,0,0,0,32110.7,8.30159,0.990101,0.993737,0,0.542602,0,9,
1486,150,0,955.985,0,0,0,0,0,0,31834.3,8.30167,0.990101,0.993727,0,0.542597,0,9,
1487,150,0,947.683,0,0,0,0,0,0,31557.9,8.30175,0.990101,0.993717,0,0.542591,0,9,
1488,150,0,939.381,0,0,0,0,0,0,31281.4,8.30184,0.990101,0.993707,0,0.542586,0,9,
1489,150,0,931.08,0,0,0,0,0,0,31004.9,8.30192,0.990101,0.993697,0,0.542581,0,9,
1490,150,0,922.778,0,0,0,0,0,0,30728.5,8.302,0.990101,0.993687,0,0.542575,0,9,
1491,129.753,0,915.693,0,0,0,0,0,0,30492.6,7.08454,0.990101,0.993677,0,0.54257,0,7.78518,
1492,150,0,907.391,0,0,0,0,0,0,30216.1,8.30217,0.990101,0.993667,0,0.542564,0,9,
1493,150,0,899.089,0,0,0,0,0,0,29939.6,8.30225,0.990101,0.993657,0,0.542559,0,9,
1494,95.7448,0,893.981,0,0,0,0,0,0,29769.6,5.10769,0.990101,0.993647,0,0.542554,0,5.74469,
1495,120.192,0,887.461,0,0,0,0,0,0,29552.4,6.52036,0.990101,0.993637,0,0.542548,0,7.21152,
1496,0,0,887.461,0,0,0,0,0,0,29552.4,0,0.990101,0.993637,0,0,0,0,
1497,38.7799,0,885.473,0,0,0,0,0,0,29486.3,1.98731,0.990101,0.993606,0,0.542532,0,2.32679,
1498,0,270,889.974,0,0,12.3775,0,77.4077,4.50045,29636.1,0,0.99007,0.993606,0.549543,0,0,18.7426,
1499,0,297,894.88,0,0,12.3771,0,84.3872,4.90623,29799.5,0,0.99006,0.993606,0.549538,0,0,18.7426,
1500,0,299.7,899.826,0,0,12.377,0,85.077,4.94633,29964.2,0,0.99005,0.993606,0.549532,0,0,18.7426,
1501,0,299.97,904.777,0,0,12.3769,0,85.1451,4.9503,30129.1,0,0.99004,0.993606,0.549527,0,0,18.7426,
1502,0,299.997,909.727,0,0,12.3767,0,85.1512,4.95065,30293.9,0,0.99003,0.993606,0.549521,0,0,18.7426,
1503,0,300,914.678,0,0,12.3766,0,85.151,4.95064,30458.8,0,0.99002,0.993606,0.549516,0,0,18.7426,
1504,0,47.6235,915.53,0,0,12.3765,0,14.6543,0.851995,30487.1,0,0.99001,0.993606,0.549511,0,0,3.6,
1505,0,0,915.53,0,0,0,0,0,0,30487.1,0,0.99001,0.993606,0,0,0,0,
1506,150,0,907.227,0,0,0,0,0,0,30210.7,8.30275,0.99001,0.993575,0,0.542515,0,9,
1507,150,0,898.924,0,0,0,0,0,0,29934.2,8.303,0.99001,0.993565,0,0.54251,0,9,
1508,150,0,890.621,0,0,0,0,0,0,29657.7,8.30309,0.99001,0.993555,0,0.542504,0,9,
1509,112.338,0,884.559,0,0,0,0,0,0,29455.8,6.0623,0.99001,0.993545,0,0.542499,0,6.74031,
1510,131.736,0,877.355,0,0,0,0,0,0,29215.9,7.20348,0.99001,0.993535,0,0.542493,0,7.90418,
1511,150,0,869.052,0,0,0,0,0,0,28939.4,8.30333,0.99001,0.993525,0,0.542488,0,9,
1512,150,0,860.748,0,0,0,0,0,0,28662.9,8.30342,0.99001,0.993515,0,0.542483,0,9,
1513,150,0,852.445,0,0,0,0,0,0,28386.4,8.3035,0.99001,0.993505,0,0.542477,0,9,
1514,150,0,844.141,0,0,0,0,0,0,28109.9,8.30358,0.99001,0.993495,0,0.542472,0,9,
1515,150,0,835.838,0,0,0,0,0,0,27833.4,8.30366,0.99001,0.993485,0,0.542467,0,9,
1516,150,0,827.534,0,0,0,0,0,0,27556.9,8.30375,0.99001,0.993475,0,0.542461,0,9,
1517,150,0,819.23,0,0,0,0,0,0,27280.4,8.30383,0.99001,0.993465,0,0.542456,0,9,
1518,150,0,810.926,0,0,0,0,0,0,27003.8,8.30391,0.99001,0.993455,0,0.54245,0,9,
1519,150,0,802.622,0,0,0,0,0,0,26727.3,8.30399,0.99001,0.993445,0,0.542445,0,9,
1520,150,0,794.318,0,0,0,0,0,0,26450.8,8.30408,0.99001,0.993435,0,0.54244,0,9,
1521,105.317,0,788.661,0,0,0,0,0,0,26262.4,5.65675,0.99001,0.993425,0,0.542434,0,6.31899,
1522,0,0,788.661,0,0,0,0,0,0,26262.4,0,0.99001,0.993425,0,0,0,0,
1523,38.143,0,786.707,0,0,0,0,0,0,26197.3,1.95419,0.99001,0.993395,0,0.542418,0,2.28858,
1524,0,270,791.207,0,0,12.3764,0,77.4008,4.50005,26347.2,0,0.98998,0.993395,0.549494,0,0,18.7426,
1525,0,297,796.113,0,0,12.376,0,84.3796,4.90579,26510.6,0,0.98997,0.993395,0.549488,0,0,18.7426,
1526,0,299.7,801.059,0,0,12.3759,0,85.0693,4.94589,26675.3,0,0.98996,0.993395,0.549483,0,0,18.7426,
1527,0,299.97,806.009,0,0,12.3757,0,85.1375,4.94985,26840.1,0,0.98995,0.993395,0.549478,0,0,18.7425,
1528,0,299.997,810.959,0,0,12.3756,0,85.1435,4.9502,27004.9,0,0.98994,0.993395,0.549472,0,0,18.7425,
1529,0,300,815.909,0,0,12.3755,0,85.1434,4.9502,27169.8,0,0.98993,0.993395,0.549467,0,0,18.7425,
1530,0,300,820.859,0,0,12.3754,0,85.1426,4.95015,27334.6,0,0.98992,0.993395,0.549461,0,0,18.7425,
1531,0,51.0446,821.771,0,0,12.3753,0,15.6889,0.912148,27365,0,0.98991,0.993395,0.549456,0,0,3.80519,
1532,0,47.6249,822.623,0,0,12.3751,0,14.6531,0.851926,27393.4,0,0.9899,0.993395,0.54945,0,0,3.6,
1533,0,274.762,827.195,0,0,12.375,0,78.6336,4.57172,27545.6,0,0.98989,0.993395,0.549445,0,0,18.7425,
1534,0,297.476,832.108,0,0,12.3749,0,84.494,4.91244,27709.2,0,0.98988,0.993395,0.54944,0,0,18.7425,
1535,0,54.7988,833.086,0,0,12.3748,0,16.8227,0.978064,27741.8,0,0.98987,0.993395,0.549434,0,0,4.03042,
1536,0,47.6254,833.938,0,0,12.3746,0,14.6527,0.851901,27770.1,0,0.98986,0.993395,0.549429,0,0,3.6,
1537,0,88.3794,835.499,0,0,12.3745,0,26.8503,1.56106,27822.1,0,0.98985,0.993395,0.549423,0,0,6.12054,
1538,0,47.6256,836.35,0,0,12.3744,0,14.6525,0.851888,27850.5,0,0.98984,0.993395,0.549418,0,0,3.6,
1539,96.9319,0,831.174,0,0,0,0,0,0,27678.1,5.17661,0.98984,0.993364,0,0.542401,0,5.81591,
1540,150,0,822.869,0,0,0,0,0,0,27401.5,8.30475,0.98984,0.993354,0,0.542396,0,9,
1541,150,0,814.564,0,0,0,0,0,0,27125,8.30483,0.98984,0.993344,0,0.54239,0,9,
1542,38.6691,0,812.582,0,0,0,0,0,0,27059,1.98205,0.98984,0.993334,0,0.542385,0,2.32014,
1543,38.8061,0,810.593,0,0,0,0,0,0,26992.7,1.98929,0.98984,0.993324,0,0.54238,0,2.32836,
1544,0,270,815.092,0,0,12.3743,0,77.3877,4.49929,27142.6,0,0.989809,0.993324,0.549401,0,0,18.7425,
1545,0,297,819.997,0,0,12.3739,0,84.3654,4.90496,27305.9,0,0.989799,0.993324,0.549396,0,0,18.7424,
1546,0,299.7,824.942,0,0,12.3738,0,85.0549,4.94505,27470.6,0,0.989789,0.993324,0.54939,0,0,18.7424,
1547,0,299.97,829.891,0,0,12.3737,0,85.1231,4.94902,27635.4,0,0.989779,0.993324,0.549385,0,0,18.7424,
1548,0,299.997,834.841,0,0,12.3735,0,85.1291,4.94937,27800.2,0,0.989769,0.993324,0.549379,0,0,18.7424,
1549,0,300,839.79,0,0,12.3734,0,85.129,4.94936,27965,0,0.989759,0.993324,0.549374,0,0,18.7424,
1550,0,293.112,844.637,0,0,12.3733,0,83.3646,4.84678,28126.4,0,0.989749,0.993324,0.549368,0,0,18.3291,
1551,0,69.6297,845.874,0,0,12.3732,0,21.2752,1.23693,28167.6,0,0.989739,0.993324,0.549363,0,0,4.92017,
1552,0,47.627,846.726,0,0,12.373,0,14.6513,0.851819,28196,0,0.989729,0.993324,0.549358,0,0,3.6,
1553,0,30.218,847.269,0,0,12.3729,0,9.34549,0.543343,28214.1,0,0.989719,0.993324,0.549352,0,0,2.55545,
1554,135.068,0,839.865,0,0,0,0,0,0,27967.5,7.40387,0.989719,0.993293,0,0.542363,0,8.10406,
1555,150,0,831.56,0,0,0,0,0,0,27690.9,8.30533,0.989719,0.993283,0,0.542358,0,9,
1556,150,0,823.254,0,0,0,0,0,0,27414.4,8.30541,0.989719,0.993273,0,0.542352,0,9,
1557,150,0,814.949,0,0,0,0,0,0,27137.8,8.3055,0.989719,0.993263,0,0.542347,0,9,
1558,150,0,806.643,0,0,0,0,0,0,26861.2,8.30558,0.989719,0.993253,0,0.542341,0,9,
1559,150,0,798.338,0,0,0,0,0,0,26584.6,8.30566,0.989719,0.993243,0,0.542336,0,9,
1560,150,0,790.032,0,0,0,0,0,0,26308.1,8.30574,0.989719,0.993233,0,0.542331,0,9,
1561,150,0,781.726,0,0,0,0,0,0,26031.5,8.30583,0.989719,0.993223,0,0.542325,0,9,
1562,150,0,773.42,0,0,0,0,0,0,25754.9,8.30591,0.989719,0.993213,0,0.54232,0,9,
1563,150,0,765.114,0,0,0,0,0,0,25478.3,8.30599,0.989719,0.993203,0,0.542315,0,9,
1564,150,0,756.808,0,0,0,0,0,0,25201.7,8.30607,0.989719,0.993193,0,0.542309,0,9,
1565,150,0,748.502,0,0,0,0,0,0,24925.1,8.30616,0.989719,0.993183,0,0.542304,0,9,
1566,150,0,740.196,0,0,0,0,0,0,24648.5,8.30624,0.989719,0.993173,0,0.542298,0,9,
1567,150,0,731.889,0,0,0,0,0,0,24371.9,8.30632,0.989719,0.993163,0,0.542293,0,9,
1568,42.802,0,729.688,0,0,0,0,0,0,24298.6,2.20082,0.989719,0.993153,0,0.542288,0,2.56812,
1569,0,239.727,733.723,0,0,12.3728,0,69.389,4.03424,24433,0,0.989688,0.993153,0.549335,0,0,16.5066,
1570,0,293.973,738.582,0,0,12.3724,0,83.5796,4.85928,24594.8,0,0.989678,0.993153,0.54933,0,0,18.7423,
1571,0,299.397,743.522,0,0,12.3723,0,84.9674,4.93997,24759.3,0,0.989668,0.993153,0.549325,0,0,18.7423,
1572,0,299.94,748.47,0,0,12.3722,0,85.1052,4.94797,24924,0,0.989658,0.993153,0.549319,0,0,18.7423,
1573,0,299.994,753.419,0,0,12.3721,0,85.1182,4.94873,25088.8,0,0.989648,0.993153,0.549314,0,0,18.7423,
1574,0,299.999,758.367,0,0,12.3719,0,85.1187,4.94876,25253.6,0,0.989638,0.993153,0.549308,0,0,18.7423,
1575,0,300,763.316,0,0,12.3718,0,85.118,4.94872,25418.4,0,0.989628,0.993153,0.549303,0,0,18.7423,
1576,95.733,0,758.207,0,0,0,0,0,0,25248.3,5.10957,0.989628,0.993123,0,0.542271,0,5.74398,
1577,150,0,749.9,0,0,0,0,0,0,24971.7,8.30674,0.989628,0.993113,0,0.542266,0,9,
1578,150,0,741.593,0,0,0,0,0,0,24695,8.30682,0.989628,0.993103,0,0.54226,0,9,
1579,150,0,733.286,0,0,0,0,0,0,24418.4,8.3069,0.989628,0.993093,0,0.542255,0,9,
1580,150,0,724.979,0,0,0,0,0,0,24141.8,8.30699,0.989628,0.993083,0,0.54225,0,9,
1581,150,0,716.672,0,0,0,0,0,0,23865.2,8.30707,0.989628,0.993073,0,0.542244,0,9,
1582,150,0,708.365,0,0,0,0,0,0,23588.6,8.30715,0.989628,0.993063,0,0.542239,0,9,
1583,150,0,700.058,0,0,0,0,0,0,23311.9,8.30723,0.989628,0.993053,0,0.542233,0,9,
1584,150,0,691.75,0,0,0,0,0,0,23035.3,8.30732,0.989628,0.993043,0,0.542228,0,9,
